Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762330200553,2025-11-05 15:10:00,Quang,Local-Machine,1.50,87.46,15.74,58.73,476.01,196.47
1762330201587,2025-11-05 15:10:01,Quang,Local-Machine,1.70,87.46,15.74,58.73,476.01,196.47
1762330202587,2025-11-05 15:10:02,Quang,Local-Machine,1.76,87.39,15.74,58.73,476.01,196.47
1762330203579,2025-11-05 15:10:03,Quang,Local-Machine,1.58,87.41,15.74,58.73,476.01,196.47
1762330204571,2025-11-05 15:10:04,Quang,Local-Machine,1.38,87.44,15.74,58.73,476.01,196.47
1762330205620,2025-11-05 15:10:05,Quang,Local-Machine,1.68,87.44,15.74,58.73,476.01,196.47
1762330206608,2025-11-05 15:10:06,Quang,Local-Machine,1.38,87.56,15.74,58.73,476.01,196.47
1762330207616,2025-11-05 15:10:07,Quang,Local-Machine,1.74,87.35,15.74,58.73,476.01,196.47
1762330208603,2025-11-05 15:10:08,Quang,Local-Machine,1.19,87.32,15.74,58.73,476.01,196.47
1762330209626,2025-11-05 15:10:09,Quang,Local-Machine,1.51,87.35,15.74,58.73,476.01,196.47
1762330210622,2025-11-05 15:10:10,Quang,Local-Machine,1.57,87.38,15.74,58.73,476.01,196.47
1762330211644,2025-11-05 15:10:11,Quang,Local-Machine,1.74,87.17,15.74,58.73,476.01,196.47
1762330212630,2025-11-05 15:10:12,Quang,Local-Machine,1.39,87.89,15.74,58.73,476.01,196.47
1762330213615,2025-11-05 15:10:13,Quang,Local-Machine,1.19,88.48,15.74,58.73,476.01,196.47
1762330214641,2025-11-05 15:10:14,Quang,Local-Machine,1.52,88.55,15.74,58.73,476.01,196.47
1762330215684,2025-11-05 15:10:15,Quang,Local-Machine,1.87,88.89,15.74,58.73,476.01,196.47
1762330216721,2025-11-05 15:10:16,Quang,Local-Machine,2.45,89.16,15.74,58.73,476.01,196.47
1762330217663,2025-11-05 15:10:17,Quang,Local-Machine,1.45,90.07,15.74,58.73,476.01,196.47
1762330218654,2025-11-05 15:10:18,Quang,Local-Machine,1.38,89.74,15.74,58.73,476.01,196.47
1762330219659,2025-11-05 15:10:19,Quang,Local-Machine,1.16,88.94,15.74,58.73,476.01,196.47
1762330220658,2025-11-05 15:10:20,Quang,Local-Machine,1.37,89.02,15.74,58.73,476.01,196.47
1762330221637,2025-11-05 15:10:21,Quang,Local-Machine,0.80,89.05,15.74,58.73,476.01,196.47
1762330222679,2025-11-05 15:10:22,Quang,Local-Machine,1.31,89.15,15.74,58.73,476.01,196.47
1762330223665,2025-11-05 15:10:23,Quang,Local-Machine,1.19,89.02,15.74,58.73,476.01,196.47
1762330224719,2025-11-05 15:10:24,Quang,Local-Machine,1.67,88.90,15.74,58.73,476.01,196.47
1762330225700,2025-11-05 15:10:25,Quang,Local-Machine,1.20,88.85,15.74,58.73,476.01,196.47
1762330226721,2025-11-05 15:10:26,Quang,Local-Machine,1.53,88.74,15.74,58.73,476.01,196.47
1762330227704,2025-11-05 15:10:27,Quang,Local-Machine,1.39,88.71,15.74,58.73,476.01,196.47
1762330228757,2025-11-05 15:10:28,Quang,Local-Machine,1.67,88.68,15.74,58.73,476.01,196.47
1762330229780,2025-11-05 15:10:29,Quang,Local-Machine,1.91,88.61,15.74,58.73,476.01,196.47
1762330230765,2025-11-05 15:10:30,Quang,Local-Machine,2.18,88.61,15.74,58.73,476.01,196.47
1762330231756,2025-11-05 15:10:31,Quang,Local-Machine,1.38,88.13,15.74,58.73,476.01,196.47
1762330232768,2025-11-05 15:10:32,Quang,Local-Machine,1.35,88.07,15.74,58.73,476.01,196.47
1762330233786,2025-11-05 15:10:33,Quang,Local-Machine,1.53,88.08,15.74,58.73,476.01,196.47
1762330234800,2025-11-05 15:10:34,Quang,Local-Machine,1.54,88.07,15.74,58.73,476.01,196.47
1762330235833,2025-11-05 15:10:35,Quang,Local-Machine,1.70,87.89,15.74,58.73,476.01,196.47
1762330236819,2025-11-05 15:10:36,Quang,Local-Machine,1.58,87.92,15.74,58.73,476.01,196.47
1762330237819,2025-11-05 15:10:37,Quang,Local-Machine,1.56,87.78,15.74,58.73,476.01,196.47
1762330238794,2025-11-05 15:10:38,Quang,Local-Machine,1.00,87.78,15.74,58.73,476.01,196.47
1762330239866,2025-11-05 15:10:39,Quang,Local-Machine,2.00,87.99,15.74,58.73,476.01,196.47
1762330240829,2025-11-05 15:10:40,Quang,Local-Machine,1.42,87.97,15.74,58.73,476.01,196.47
1762330241878,2025-11-05 15:10:41,Quang,Local-Machine,1.49,87.96,15.74,58.73,476.01,196.47
1762330242832,2025-11-05 15:10:42,Quang,Local-Machine,1.23,87.78,15.74,58.73,476.01,196.47
1762330243869,2025-11-05 15:10:43,Quang,Local-Machine,1.70,87.59,15.74,58.73,476.01,196.47
1762330244829,2025-11-05 15:10:44,Quang,Local-Machine,1.02,87.56,15.74,58.73,476.01,196.47
1762330245926,2025-11-05 15:10:45,Quang,Local-Machine,1.78,87.58,15.74,58.73,476.01,196.47
1762330246909,2025-11-05 15:10:46,Quang,Local-Machine,1.79,86.75,15.74,58.73,476.01,196.47
1762330247922,2025-11-05 15:10:47,Quang,Local-Machine,1.74,86.56,15.74,58.73,476.01,196.47
1762330248892,2025-11-05 15:10:48,Quang,Local-Machine,1.21,87.21,15.74,58.73,476.01,196.47
1762330249974,2025-11-05 15:10:49,Quang,Local-Machine,1.99,87.54,15.74,58.73,476.01,196.47
1762330250964,2025-11-05 15:10:50,Quang,Local-Machine,1.78,87.72,15.74,58.73,476.01,196.47
1762330251946,2025-11-05 15:10:51,Quang,Local-Machine,1.39,87.60,15.74,58.73,476.01,196.47
1762330252953,2025-11-05 15:10:52,Quang,Local-Machine,1.55,87.49,15.74,58.73,476.01,196.47
1762330253959,2025-11-05 15:10:53,Quang,Local-Machine,1.36,87.82,15.74,58.73,476.01,196.47
1762330255032,2025-11-05 15:10:55,Quang,Local-Machine,2.00,87.71,15.74,58.73,476.01,196.47
1762330255981,2025-11-05 15:10:55,Quang,Local-Machine,1.44,87.58,15.74,58.73,476.01,196.47
1762330256951,2025-11-05 15:10:56,Quang,Local-Machine,1.21,87.62,15.74,58.73,476.01,196.47
1762330257973,2025-11-05 15:10:57,Quang,Local-Machine,1.14,87.61,15.74,58.73,476.01,196.47
1762330258973,2025-11-05 15:10:58,Quang,Local-Machine,0.97,87.86,15.74,58.73,476.01,196.47
1762330260022,2025-11-05 15:11:00,Quang,Local-Machine,1.31,88.23,15.74,58.73,476.01,196.47
1762330260956,2025-11-05 15:11:00,Quang,Local-Machine,0.83,88.42,15.74,58.73,476.01,196.47
1762330261990,2025-11-05 15:11:01,Quang,Local-Machine,1.34,88.32,15.74,58.73,476.01,196.47
1762330263002,2025-11-05 15:11:03,Quang,Local-Machine,0.96,88.45,15.74,58.73,476.01,196.47
1762330264001,2025-11-05 15:11:04,Quang,Local-Machine,0.98,88.57,15.74,58.73,476.01,196.47
1762330265008,2025-11-05 15:11:05,Quang,Local-Machine,1.35,88.64,15.74,58.73,476.01,196.47
1762330266040,2025-11-05 15:11:06,Quang,Local-Machine,1.53,88.58,15.74,58.73,476.01,196.47
1762330267052,2025-11-05 15:11:07,Quang,Local-Machine,1.54,88.58,15.74,58.73,476.01,196.47
1762330268041,2025-11-05 15:11:08,Quang,Local-Machine,1.37,88.51,15.74,58.73,476.01,196.47
1762330269034,2025-11-05 15:11:09,Quang,Local-Machine,1.00,88.89,15.74,58.73,476.01,196.47
1762330270057,2025-11-05 15:11:10,Quang,Local-Machine,1.33,88.82,15.74,58.73,476.01,196.47
1762330271038,2025-11-05 15:11:11,Quang,Local-Machine,1.40,88.80,15.74,58.73,476.01,196.47
1762330272039,2025-11-05 15:11:12,Quang,Local-Machine,0.98,88.79,15.74,58.73,476.01,196.47
1762330273070,2025-11-05 15:11:13,Quang,Local-Machine,1.32,88.66,15.74,58.73,476.01,196.47
1762330274077,2025-11-05 15:11:14,Quang,Local-Machine,1.37,89.07,15.74,58.73,476.01,196.47
1762330275078,2025-11-05 15:11:15,Quang,Local-Machine,1.17,89.08,15.74,58.73,476.01,196.47
1762330276094,2025-11-05 15:11:16,Quang,Local-Machine,1.15,89.08,15.74,58.73,476.01,196.47
1762330277089,2025-11-05 15:11:17,Quang,Local-Machine,1.16,88.60,15.74,58.73,476.01,196.47
1762330278126,2025-11-05 15:11:18,Quang,Local-Machine,1.52,88.53,15.74,58.73,476.01,196.47
