Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762252212721,2025-11-04 17:30:12,Quang,Local-Machine,4.07,71.24,15.74,58.64,476.01,196.88
1762252213541,2025-11-04 17:30:13,Quang,Local-Machine,1.43,71.56,15.74,58.64,476.01,196.88
1762252214541,2025-11-04 17:30:14,Quang,Local-Machine,2.34,71.73,15.74,58.64,476.01,196.88
1762252215556,2025-11-04 17:30:15,Quang,Local-Machine,1.54,71.46,15.74,58.64,476.01,196.88
1762252216622,2025-11-04 17:30:16,Quang,Local-Machine,1.65,71.46,15.74,58.64,476.01,196.88
1762252217696,2025-11-04 17:30:17,Quang,Local-Machine,1.64,71.72,15.74,58.64,476.01,196.88
1762252218663,2025-11-04 17:30:18,Quang,Local-Machine,1.41,71.74,15.74,58.64,476.01,196.88
1762252219674,2025-11-04 17:30:19,Quang,Local-Machine,1.54,71.75,15.74,58.64,476.01,196.88
1762252220689,2025-11-04 17:30:20,Quang,Local-Machine,1.54,71.77,15.74,58.64,476.01,196.88
1762252221672,2025-11-04 17:30:21,Quang,Local-Machine,1.39,71.72,15.74,58.64,476.01,196.88
1762252222688,2025-11-04 17:30:22,Quang,Local-Machine,1.73,71.70,15.74,58.64,476.01,196.88
1762252223670,2025-11-04 17:30:23,Quang,Local-Machine,1.00,71.69,15.74,58.64,476.01,196.88
1762252224739,2025-11-04 17:30:24,Quang,Local-Machine,1.64,71.71,15.74,58.64,476.01,196.88
1762252225762,2025-11-04 17:30:25,Quang,Local-Machine,2.10,71.69,15.74,58.64,476.01,196.88
1762252226792,2025-11-04 17:30:26,Quang,Local-Machine,2.47,71.71,15.74,58.64,476.01,196.88
1762252227730,2025-11-04 17:30:27,Quang,Local-Machine,1.46,71.70,15.74,58.64,476.01,196.88
1762252228816,2025-11-04 17:30:28,Quang,Local-Machine,1.98,71.60,15.74,58.64,476.01,196.88
1762252229776,2025-11-04 17:30:29,Quang,Local-Machine,1.63,71.59,15.74,58.64,476.01,196.88
1762252230773,2025-11-04 17:30:30,Quang,Local-Machine,1.57,72.14,15.74,58.64,476.01,196.88
1762252231822,2025-11-04 17:30:31,Quang,Local-Machine,2.05,72.07,15.74,58.64,476.01,196.88
1762252232837,2025-11-04 17:30:32,Quang,Local-Machine,2.12,71.98,15.74,58.64,476.01,196.88
1762252233846,2025-11-04 17:30:33,Quang,Local-Machine,2.51,71.99,15.74,58.64,476.01,196.88
1762252234842,2025-11-04 17:30:34,Quang,Local-Machine,1.96,71.98,15.74,58.64,476.01,196.88
1762252235839,2025-11-04 17:30:35,Quang,Local-Machine,2.15,71.97,15.74,58.64,476.01,196.88
1762252236827,2025-11-04 17:30:36,Quang,Local-Machine,1.58,71.94,15.74,58.64,476.01,196.88
1762252237887,2025-11-04 17:30:37,Quang,Local-Machine,2.02,71.94,15.74,58.64,476.01,196.88
1762252238882,2025-11-04 17:30:38,Quang,Local-Machine,1.77,72.08,15.74,58.64,476.01,196.88
1762252239893,2025-11-04 17:30:39,Quang,Local-Machine,1.94,72.06,15.74,58.64,476.01,196.88
1762252240922,2025-11-04 17:30:40,Quang,Local-Machine,2.28,72.08,15.74,58.64,476.01,196.88
1762252241913,2025-11-04 17:30:41,Quang,Local-Machine,1.97,72.07,15.74,58.64,476.01,196.88
1762252242905,2025-11-04 17:30:42,Quang,Local-Machine,2.17,71.95,15.74,58.64,476.01,196.88
1762252243910,2025-11-04 17:30:43,Quang,Local-Machine,1.75,71.98,15.74,58.64,476.01,196.88
1762252244950,2025-11-04 17:30:44,Quang,Local-Machine,2.06,72.19,15.74,58.64,476.01,196.88
1762252245899,2025-11-04 17:30:45,Quang,Local-Machine,1.44,72.17,15.74,58.64,476.01,196.88
1762252246931,2025-11-04 17:30:46,Quang,Local-Machine,1.51,72.03,15.74,58.64,476.01,196.88
1762252247980,2025-11-04 17:30:47,Quang,Local-Machine,2.23,72.05,15.74,58.64,476.01,196.88
1762252248934,2025-11-04 17:30:48,Quang,Local-Machine,1.84,71.87,15.74,58.64,476.01,196.88
1762252249981,2025-11-04 17:30:49,Quang,Local-Machine,1.87,71.87,15.74,58.64,476.01,196.88
1762252250951,2025-11-04 17:30:50,Quang,Local-Machine,1.61,71.87,15.74,58.64,476.01,196.88
1762252252015,2025-11-04 17:30:52,Quang,Local-Machine,2.02,71.87,15.74,58.64,476.01,196.88
1762252252991,2025-11-04 17:30:52,Quang,Local-Machine,1.40,71.88,15.74,58.64,476.01,196.88
1762252254046,2025-11-04 17:30:54,Quang,Local-Machine,2.40,71.88,15.74,58.64,476.01,196.88
1762252255004,2025-11-04 17:30:55,Quang,Local-Machine,1.63,71.87,15.74,58.64,476.01,196.88
1762252255991,2025-11-04 17:30:55,Quang,Local-Machine,1.39,71.88,15.74,58.64,476.01,196.88
1762252257032,2025-11-04 17:30:57,Quang,Local-Machine,1.69,71.86,15.74,58.64,476.01,196.88
1762252258012,2025-11-04 17:30:58,Quang,Local-Machine,1.40,71.87,15.74,58.64,476.01,196.88
1762252259049,2025-11-04 17:30:59,Quang,Local-Machine,1.88,71.87,15.74,58.64,476.01,196.88
1762252260087,2025-11-04 17:31:00,Quang,Local-Machine,2.07,71.89,15.74,58.64,476.01,196.88
1762252261071,2025-11-04 17:31:01,Quang,Local-Machine,1.59,71.86,15.74,58.64,476.01,196.88
1762252262100,2025-11-04 17:31:02,Quang,Local-Machine,2.09,71.89,15.74,58.64,476.01,196.88
1762252263045,2025-11-04 17:31:03,Quang,Local-Machine,1.24,71.88,15.74,58.64,476.01,196.88
1762252264067,2025-11-04 17:31:04,Quang,Local-Machine,1.34,71.91,15.74,58.64,476.01,196.88
1762252265094,2025-11-04 17:31:05,Quang,Local-Machine,1.52,71.89,15.74,58.64,476.01,196.88
1762252266110,2025-11-04 17:31:06,Quang,Local-Machine,1.35,71.89,15.74,58.64,476.01,196.88
1762252267133,2025-11-04 17:31:07,Quang,Local-Machine,1.72,71.88,15.74,58.64,476.01,196.88
1762252268099,2025-11-04 17:31:08,Quang,Local-Machine,1.21,71.93,15.74,58.64,476.01,196.88
1762252269164,2025-11-04 17:31:09,Quang,Local-Machine,1.83,71.85,15.74,58.64,476.01,196.88
1762252270131,2025-11-04 17:31:10,Quang,Local-Machine,1.41,71.91,15.74,58.64,476.01,196.88
1762252271216,2025-11-04 17:31:11,Quang,Local-Machine,1.98,71.96,15.74,58.64,476.01,196.88
1762252272171,2025-11-04 17:31:12,Quang,Local-Machine,1.84,71.95,15.74,58.64,476.01,196.88
1762252273195,2025-11-04 17:31:13,Quang,Local-Machine,1.72,71.95,15.74,58.64,476.01,196.88
1762252274164,2025-11-04 17:31:14,Quang,Local-Machine,1.41,71.73,15.74,58.64,476.01,196.88
1762252275218,2025-11-04 17:31:15,Quang,Local-Machine,1.85,71.74,15.74,58.64,476.01,196.88
1762252276217,2025-11-04 17:31:16,Quang,Local-Machine,1.76,71.81,15.74,58.64,476.01,196.88
1762252277205,2025-11-04 17:31:17,Quang,Local-Machine,1.38,72.31,15.74,58.64,476.01,196.88
1762252278251,2025-11-04 17:31:18,Quang,Local-Machine,2.06,72.28,15.74,58.64,476.01,196.88
1762252279258,2025-11-04 17:31:19,Quang,Local-Machine,1.75,72.73,15.74,58.64,476.01,196.88
1762252280210,2025-11-04 17:31:20,Quang,Local-Machine,1.23,72.69,15.74,58.64,476.01,196.88
1762252281274,2025-11-04 17:31:21,Quang,Local-Machine,1.65,72.67,15.74,58.64,476.01,196.88
