Timestamp,Date Time,Agent ID,Zone,CPU(%),RAM(%),Total RAM(GB),Disk(%),Total Disk(GB),Free Disk(GB)
1762252413386,2025-11-04 17:33:33,Quang,Lab-301,0.67,72.72,15.74,58.64,476.01,196.88
1762252413524,2025-11-04 17:33:33,Quang,Lab-301,4.28,72.67,15.74,58.64,476.01,196.88
1762252414404,2025-11-04 17:33:34,Quang,Lab-301,1.11,72.70,15.74,58.64,476.01,196.88
1762252414548,2025-11-04 17:33:34,Quang,Lab-301,5.46,72.67,15.74,58.64,476.01,196.88
1762252415408,2025-11-04 17:33:35,Quang,Lab-301,1.13,72.73,15.74,58.64,476.01,196.88
1762252415550,2025-11-04 17:33:35,Quang,Lab-301,5.54,72.73,15.74,58.64,476.01,196.88
1762252416421,2025-11-04 17:33:36,Quang,Lab-301,0.90,72.67,15.74,58.64,476.01,196.88
1762252416565,2025-11-04 17:33:36,Quang,Lab-301,5.39,72.68,15.74,58.64,476.01,196.88
1762252417430,2025-11-04 17:33:37,Quang,Lab-301,0.68,72.69,15.74,58.64,476.01,196.88
1762252417569,2025-11-04 17:33:37,Quang,Lab-301,5.62,72.68,15.74,58.64,476.01,196.88
1762252418436,2025-11-04 17:33:38,Quang,Lab-301,1.13,72.69,15.74,58.64,476.01,196.88
1762252418575,2025-11-04 17:33:38,Quang,Lab-301,5.66,72.71,15.74,58.64,476.01,196.88
