Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762781656875,2025-11-10 20:34:16,Quang,Lab-301,10.50,82.96,15.74,58.25,476.01,198.75
1762781657651,2025-11-10 20:34:17,Quang,Lab-301,3.26,82.95,15.74,58.25,476.01,198.75
1762781658660,2025-11-10 20:34:18,Quang,Lab-301,0.58,82.90,15.74,58.25,476.01,198.75
1762781659676,2025-11-10 20:34:19,Quang,Lab-301,2.50,82.88,15.74,58.25,476.01,198.75
1762781660688,2025-11-10 20:34:20,Quang,Lab-301,2.32,82.86,15.74,58.25,476.01,198.75
1762781661695,2025-11-10 20:34:21,Quang,Lab-301,1.16,82.87,15.74,58.25,476.01,198.75
1762781662705,2025-11-10 20:34:22,Quang,Lab-301,1.74,82.86,15.74,58.25,476.01,198.75
1762781663714,2025-11-10 20:34:23,Quang,Lab-301,1.16,82.63,15.74,58.25,476.01,198.75
1762781664723,2025-11-10 20:34:24,Quang,Lab-301,1.74,82.63,15.74,58.25,476.01,198.75
1762781665735,2025-11-10 20:34:25,Quang,Lab-301,1.74,82.58,15.74,58.25,476.01,198.75
1762781666744,2025-11-10 20:34:26,Quang,Lab-301,0.97,82.13,15.74,58.25,476.01,198.75
1762781667762,2025-11-10 20:34:27,Quang,Lab-301,1.34,82.46,15.74,58.25,476.01,198.75
1762781668777,2025-11-10 20:34:28,Quang,Lab-301,2.12,82.96,15.74,58.25,476.01,198.75
1762781669784,2025-11-10 20:34:29,Quang,Lab-301,1.75,83.08,15.74,58.25,476.01,198.75
1762781670784,2025-11-10 20:34:30,Quang,Lab-301,2.34,83.13,15.74,58.25,476.01,198.75
1762781671799,2025-11-10 20:34:31,Quang,Lab-301,0.77,82.94,15.74,58.25,476.01,198.75
1762781672803,2025-11-10 20:34:32,Quang,Lab-301,2.72,83.36,15.74,58.25,476.01,198.75
1762781673804,2025-11-10 20:34:33,Quang,Lab-301,2.15,83.15,15.74,58.25,476.01,198.75
1762781674813,2025-11-10 20:34:34,Quang,Lab-301,0.77,83.08,15.74,58.25,476.01,198.75
1762781675817,2025-11-10 20:34:35,Quang,Lab-301,2.14,83.06,15.74,58.25,476.01,198.75
1762781676828,2025-11-10 20:34:36,Quang,Lab-301,1.54,83.01,15.74,58.25,476.01,198.75
1762781677853,2025-11-10 20:34:37,Quang,Lab-301,1.34,83.08,15.74,58.25,476.01,198.75
1762781678858,2025-11-10 20:34:38,Quang,Lab-301,0.97,82.95,15.74,58.25,476.01,198.75
1762781679880,2025-11-10 20:34:39,Quang,Lab-301,0.77,82.98,15.74,58.25,476.01,198.75
1762781680879,2025-11-10 20:34:40,Quang,Lab-301,0.98,83.00,15.74,58.25,476.01,198.75
