Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762330124225,2025-11-05 15:08:44,Quang,Lab-301,13.02,88.46,15.74,58.73,476.01,196.47
1762330125080,2025-11-05 15:08:45,Quang,Lab-301,3.19,88.49,15.74,58.73,476.01,196.47
1762330126095,2025-11-05 15:08:46,Quang,Lab-301,2.89,88.47,15.74,58.73,476.01,196.47
1762330127107,2025-11-05 15:08:47,Quang,Lab-301,1.16,88.53,15.74,58.73,476.01,196.47
1762330128110,2025-11-05 15:08:48,Quang,Lab-301,2.92,88.53,15.74,58.73,476.01,196.47
1762330129150,2025-11-05 15:08:49,Quang,Lab-301,0.94,88.56,15.74,58.73,476.01,196.47
1762330130155,2025-11-05 15:08:50,Quang,Lab-301,0.97,88.16,15.74,58.73,476.01,196.47
1762330131167,2025-11-05 15:08:51,Quang,Lab-301,0.96,88.15,15.74,58.73,476.01,196.47
1762330132205,2025-11-05 15:08:52,Quang,Lab-301,1.50,88.13,15.74,58.73,476.01,196.47
1762330133197,2025-11-05 15:08:53,Quang,Lab-301,0.99,88.17,15.74,58.73,476.01,196.47
1762330134203,2025-11-05 15:08:54,Quang,Lab-301,1.36,88.20,15.74,58.73,476.01,196.47
1762330135239,2025-11-05 15:08:55,Quang,Lab-301,1.32,88.21,15.74,58.73,476.01,196.47
1762330136258,2025-11-05 15:08:56,Quang,Lab-301,1.34,88.26,15.74,58.73,476.01,196.47
1762330137236,2025-11-05 15:08:57,Quang,Lab-301,0.80,88.17,15.74,58.73,476.01,196.47
1762330138296,2025-11-05 15:08:58,Quang,Lab-301,1.66,88.17,15.74,58.73,476.01,196.47
1762330139280,2025-11-05 15:08:59,Quang,Lab-301,1.39,88.29,15.74,58.73,476.01,196.47
1762330140282,2025-11-05 15:09:00,Quang,Lab-301,1.17,88.32,15.74,58.73,476.01,196.47
1762330141326,2025-11-05 15:09:01,Quang,Lab-301,1.68,88.34,15.74,58.73,476.01,196.47
1762330142321,2025-11-05 15:09:02,Quang,Lab-301,1.37,88.89,15.74,58.73,476.01,196.47
1762330143382,2025-11-05 15:09:03,Quang,Lab-301,1.84,89.13,15.74,58.73,476.01,196.47
1762330144330,2025-11-05 15:09:04,Quang,Lab-301,1.23,89.21,15.74,58.73,476.01,196.47
1762330145348,2025-11-05 15:09:05,Quang,Lab-301,1.15,89.43,15.74,58.73,476.01,196.47
1762330146360,2025-11-05 15:09:06,Quang,Lab-301,1.35,89.44,15.74,58.73,476.01,196.47
1762330147394,2025-11-05 15:09:07,Quang,Lab-301,1.51,90.12,15.74,58.73,476.01,196.47
1762330148411,2025-11-05 15:09:08,Quang,Lab-301,1.54,90.16,15.74,58.73,476.01,196.47
1762330149386,2025-11-05 15:09:09,Quang,Lab-301,1.20,89.23,15.74,58.73,476.01,196.47
1762330150400,2025-11-05 15:09:10,Quang,Lab-301,1.35,89.04,15.74,58.73,476.01,196.47
1762330151408,2025-11-05 15:09:11,Quang,Lab-301,1.36,89.07,15.74,58.73,476.01,196.47
1762330152406,2025-11-05 15:09:12,Quang,Lab-301,1.17,88.88,15.74,58.73,476.01,196.47
1762330153408,2025-11-05 15:09:13,Quang,Lab-301,0.97,88.93,15.74,58.73,476.01,196.47
1762330154431,2025-11-05 15:09:14,Quang,Lab-301,1.15,88.96,15.74,58.73,476.01,196.47
1762330155460,2025-11-05 15:09:15,Quang,Lab-301,1.33,88.99,15.74,58.73,476.01,196.47
1762330156429,2025-11-05 15:09:16,Quang,Lab-301,1.01,88.90,15.74,58.73,476.01,196.47
1762330157467,2025-11-05 15:09:17,Quang,Lab-301,1.32,89.01,15.74,58.73,476.01,196.47
1762330158482,2025-11-05 15:09:18,Quang,Lab-301,1.15,89.06,15.74,58.73,476.01,196.47
1762330159478,2025-11-05 15:09:19,Quang,Lab-301,1.18,89.70,15.74,58.73,476.01,196.47
1762330160496,2025-11-05 15:09:20,Quang,Lab-301,1.34,89.20,15.74,58.73,476.01,196.47
1762330161550,2025-11-05 15:09:21,Quang,Lab-301,2.04,89.42,15.74,58.73,476.01,196.47
1762330162532,2025-11-05 15:09:22,Quang,Lab-301,1.59,89.40,15.74,58.73,476.01,196.47
1762330163551,2025-11-05 15:09:23,Quang,Lab-301,1.72,89.34,15.74,58.73,476.01,196.47
1762330164536,2025-11-05 15:09:24,Quang,Lab-301,1.58,89.33,15.74,58.73,476.01,196.47
1762330165556,2025-11-05 15:09:25,Quang,Lab-301,1.34,89.35,15.74,58.73,476.01,196.47
1762330166570,2025-11-05 15:09:26,Quang,Lab-301,1.93,89.34,15.74,58.73,476.01,196.47
1762330167562,2025-11-05 15:09:27,Quang,Lab-301,1.38,89.23,15.74,58.73,476.01,196.47
1762330168575,2025-11-05 15:09:28,Quang,Lab-301,1.74,89.20,15.74,58.73,476.01,196.47
1762330169592,2025-11-05 15:09:29,Quang,Lab-301,1.54,89.06,15.74,58.73,476.01,196.47
1762330170585,2025-11-05 15:09:30,Quang,Lab-301,1.57,89.47,15.74,58.73,476.01,196.47
1762330171552,2025-11-05 15:09:31,Quang,Lab-301,1.01,89.35,15.74,58.73,476.01,196.47
1762330172595,2025-11-05 15:09:32,Quang,Lab-301,1.48,89.17,15.74,58.73,476.01,196.47
1762330173595,2025-11-05 15:09:33,Quang,Lab-301,1.78,89.19,15.74,58.73,476.01,196.47
1762330174594,2025-11-05 15:09:34,Quang,Lab-301,1.35,89.22,15.74,58.73,476.01,196.47
1762330175578,2025-11-05 15:09:35,Quang,Lab-301,1.00,89.06,15.74,58.73,476.01,196.47
1762330176634,2025-11-05 15:09:36,Quang,Lab-301,1.48,88.42,15.74,58.73,476.01,196.47
1762330177664,2025-11-05 15:09:37,Quang,Lab-301,2.10,88.99,15.74,58.73,476.01,196.47
1762330178659,2025-11-05 15:09:38,Quang,Lab-301,1.76,89.07,15.74,58.73,476.01,196.47
1762330179663,2025-11-05 15:09:39,Quang,Lab-301,1.36,89.42,15.74,58.73,476.01,196.47
1762330180618,2025-11-05 15:09:40,Quang,Lab-301,1.02,89.50,15.74,58.73,476.01,196.47
1762330181648,2025-11-05 15:09:41,Quang,Lab-301,1.33,89.44,15.74,58.73,476.01,196.47
1762330182677,2025-11-05 15:09:42,Quang,Lab-301,1.51,89.44,15.74,58.73,476.01,196.47
1762330183708,2025-11-05 15:09:43,Quang,Lab-301,1.71,89.01,15.74,58.73,476.01,196.47
1762330184643,2025-11-05 15:09:44,Quang,Lab-301,1.24,89.01,15.74,58.73,476.01,196.47
1762330185702,2025-11-05 15:09:45,Quang,Lab-301,1.66,89.07,15.74,58.73,476.01,196.47
1762330186688,2025-11-05 15:09:46,Quang,Lab-301,1.61,89.05,15.74,58.73,476.01,196.47
1762330187662,2025-11-05 15:09:47,Quang,Lab-301,1.00,89.03,15.74,58.73,476.01,196.47
1762330188668,2025-11-05 15:09:48,Quang,Lab-301,1.17,88.88,15.74,58.73,476.01,196.47
1762330189700,2025-11-05 15:09:49,Quang,Lab-301,1.51,89.06,15.74,58.73,476.01,196.47
1762330190724,2025-11-05 15:09:50,Quang,Lab-301,1.91,89.02,15.74,58.73,476.01,196.47
1762330191742,2025-11-05 15:09:51,Quang,Lab-301,1.73,89.05,15.74,58.73,476.01,196.47
1762330192707,2025-11-05 15:09:52,Quang,Lab-301,1.42,89.02,15.74,58.73,476.01,196.47
1762330193760,2025-11-05 15:09:53,Quang,Lab-301,1.67,89.00,15.74,58.73,476.01,196.47
1762330194749,2025-11-05 15:09:54,Quang,Lab-301,1.58,89.01,15.74,58.73,476.01,196.47
1762330195715,2025-11-05 15:09:55,Quang,Lab-301,1.01,88.93,15.74,58.73,476.01,196.47
1762330196730,2025-11-05 15:09:56,Quang,Lab-301,1.35,87.39,15.74,58.73,476.01,196.47
1762330197789,2025-11-05 15:09:57,Quang,Lab-301,1.84,87.40,15.74,58.73,476.01,196.47
1762330198756,2025-11-05 15:09:58,Quang,Lab-301,1.21,87.52,15.74,58.73,476.01,196.47
