Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762283662861,2025-11-05 02:14:22,Quang,Lab-301,3.37,91.80,15.74,58.72,476.01,196.49
1762283663236,2025-11-05 02:14:23,Quang,Lab-301,5.18,91.79,15.74,58.72,476.01,196.49
1762283664245,2025-11-05 02:14:24,Quang,Lab-301,1.93,91.80,15.74,58.72,476.01,196.49
1762283665310,2025-11-05 02:14:25,Quang,Lab-301,1.28,91.79,15.74,58.72,476.01,196.49
1762283666311,2025-11-05 02:14:26,Quang,Lab-301,1.37,91.79,15.74,58.72,476.01,196.49
1762283667346,2025-11-05 02:14:27,Quang,Lab-301,1.32,91.78,15.74,58.72,476.01,196.49
1762283668358,2025-11-05 02:14:28,Quang,Lab-301,1.74,91.83,15.74,58.72,476.01,196.49
1762283669401,2025-11-05 02:14:29,Quang,Lab-301,1.87,92.00,15.74,58.72,476.01,196.49
1762283670326,2025-11-05 02:14:30,Quang,Lab-301,1.48,92.01,15.74,58.72,476.01,196.49
1762283671412,2025-11-05 02:14:31,Quang,Lab-301,1.80,91.59,15.74,58.72,476.01,196.49
1762283672395,2025-11-05 02:14:32,Quang,Lab-301,1.98,91.50,15.74,58.72,476.01,196.49
1762283673384,2025-11-05 02:14:33,Quang,Lab-301,1.38,91.61,15.74,58.72,476.01,196.49
1762283674426,2025-11-05 02:14:34,Quang,Lab-301,1.88,91.65,15.74,58.72,476.01,196.49
1762283675446,2025-11-05 02:14:35,Quang,Lab-301,1.72,91.48,15.74,58.72,476.01,196.49
1762283676406,2025-11-05 02:14:36,Quang,Lab-301,1.42,91.56,15.74,58.72,476.01,196.49
1762283677442,2025-11-05 02:14:37,Quang,Lab-301,1.51,91.53,15.74,58.72,476.01,196.49
1762283678465,2025-11-05 02:14:38,Quang,Lab-301,1.72,91.53,15.74,58.72,476.01,196.49
1762283679461,2025-11-05 02:14:39,Quang,Lab-301,1.57,91.47,15.74,58.72,476.01,196.49
1762283680475,2025-11-05 02:14:40,Quang,Lab-301,1.54,91.48,15.74,58.72,476.01,196.49
1762283681439,2025-11-05 02:14:41,Quang,Lab-301,1.22,91.51,15.74,58.72,476.01,196.49
1762283682471,2025-11-05 02:14:42,Quang,Lab-301,1.13,91.50,15.74,58.72,476.01,196.49
1762283683517,2025-11-05 02:14:43,Quang,Lab-301,1.50,91.54,15.74,58.72,476.01,196.49
1762283684529,2025-11-05 02:14:44,Quang,Lab-301,1.74,91.68,15.74,58.72,476.01,196.49
1762283685476,2025-11-05 02:14:45,Quang,Lab-301,1.03,91.75,15.74,58.72,476.01,196.49
1762283686480,2025-11-05 02:14:46,Quang,Lab-301,1.36,91.78,15.74,58.72,476.01,196.49
1762283687553,2025-11-05 02:14:47,Quang,Lab-301,1.64,91.75,15.74,58.72,476.01,196.49
1762283688510,2025-11-05 02:14:48,Quang,Lab-301,1.02,91.79,15.74,58.72,476.01,196.49
1762283689489,2025-11-05 02:14:49,Quang,Lab-301,1.59,91.89,15.74,58.72,476.01,196.49
1762283690497,2025-11-05 02:14:50,Quang,Lab-301,2.33,91.94,15.74,58.72,476.01,196.49
1762283691539,2025-11-05 02:14:51,Quang,Lab-301,2.81,91.55,15.74,58.72,476.01,196.49
1762283692537,2025-11-05 02:14:52,Quang,Lab-301,0.98,91.59,15.74,58.72,476.01,196.49
1762283693584,2025-11-05 02:14:53,Quang,Lab-301,1.31,91.77,15.74,58.72,476.01,196.49
1762283694575,2025-11-05 02:14:54,Quang,Lab-301,1.18,91.94,15.74,58.72,476.01,196.49
1762283695575,2025-11-05 02:14:55,Quang,Lab-301,1.17,91.94,15.74,58.72,476.01,196.49
1762283696614,2025-11-05 02:14:56,Quang,Lab-301,1.32,91.94,15.74,58.72,476.01,196.49
1762283697614,2025-11-05 02:14:57,Quang,Lab-301,1.17,91.97,15.74,58.72,476.01,196.49
1762283698670,2025-11-05 02:14:58,Quang,Lab-301,1.66,91.96,15.74,58.72,476.01,196.49
1762283699618,2025-11-05 02:14:59,Quang,Lab-301,1.03,91.97,15.74,58.72,476.01,196.49
1762283700658,2025-11-05 02:15:00,Quang,Lab-301,1.50,91.99,15.74,58.72,476.01,196.49
1762283701663,2025-11-05 02:15:01,Quang,Lab-301,1.36,91.99,15.74,58.72,476.01,196.49
1762283702669,2025-11-05 02:15:02,Quang,Lab-301,1.36,91.94,15.74,58.72,476.01,196.49
1762283703657,2025-11-05 02:15:03,Quang,Lab-301,1.38,92.02,15.74,58.72,476.01,196.49
1762283704642,2025-11-05 02:15:04,Quang,Lab-301,0.99,91.95,15.74,58.72,476.01,196.49
1762283705678,2025-11-05 02:15:05,Quang,Lab-301,1.13,92.03,15.74,58.72,476.01,196.49
1762283706714,2025-11-05 02:15:06,Quang,Lab-301,1.51,92.05,15.74,58.72,476.01,196.49
1762283707728,2025-11-05 02:15:07,Quang,Lab-301,1.54,92.06,15.74,58.72,476.01,196.49
